system:index,NDVI,Soil_Moisture,VH,VV,.geo
39,0.49270192,18.857908,-13.795432247177503,-5.59972743608596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,11.09419375887609]}"
40,0.66768855,18.857908,-14.83026112395649,-7.467028200359338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,11.09419375887609]}"
41,0.601541,17.821106,-10.551707289415171,-2.2502818069227946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.09419375887609]}"
42,0.71893996,17.821106,-14.938064637684532,-8.197095480055864,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,11.09419375887609]}"
43,0.5743368,9.566309,-12.974309386565002,-6.086848339342788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.09419375887609]}"
44,0.5645956,8.446339,-14.206263157912737,-8.113347904749073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,11.09419375887609]}"
45,0.7490175,8.446339,-13.906061443791115,-8.031656936952379,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,11.09419375887609]}"
46,0.4898846,8.948411,-15.425387615246128,-9.613207718031617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,11.09419375887609]}"
47,0.2713912,8.48341,-14.464872229696768,-6.630622201184152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,11.09419375887609]}"
48,0.32863614,8.48341,-16.480106456681348,-8.991261958803108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,11.09419375887609]}"
49,0.2843059,7.685134,-15.84957733369264,-6.832154431896107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,11.09419375887609]}"
50,0.35035536,7.458146,-15.768644963652797,-7.830826439049124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,11.09419375887609]}"
51,0.2797915,7.458146,-16.637643207081666,-7.085551194275956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,11.09419375887609]}"
52,0.26259947,9.067482,-16.270087395627925,-6.703449879731897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,11.09419375887609]}"
53,0.29270634,9.067482,-17.57894428648684,-10.893712248562732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,11.09419375887609]}"
54,0.3444206,8.424873,-16.48090935290854,-9.368982426433089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,11.09419375887609]}"
55,0.43193936,9.102978,-16.008614695942352,-7.341819358219363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,11.09419375887609]}"
56,0.4921114,9.102978,-15.89645566574059,-7.819473903476467,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,11.09419375887609]}"
57,0.4938109,7.862097,-16.106927987563388,-8.67355196427382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,11.09419375887609]}"
58,0.46410635,7.7418284,-15.534629688925188,-6.93356721020975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,11.09419375887609]}"
59,0.1194428,7.7418284,-16.52614245881236,-9.46801686207506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,11.09419375887609]}"
60,0.53892606,7.8015456,-15.89113958156782,-8.379558865353903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,11.09419375887609]}"
61,0.37047943,7.882437,-16.6762120261036,-8.900419679674421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,11.09419375887609]}"
62,0.3626435,7.882437,-17.729225686518863,-9.909688958772655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,11.09419375887609]}"
63,0.30913216,8.3160515,-18.49146032517382,-10.817776063362297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,11.09419375887609]}"
64,0.38465908,8.3160515,-18.230087102811787,-11.282238316620568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,11.09419375887609]}"
65,0.291929,7.588295,-19.18631468179919,-11.874288589435647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.09419375887609]}"
66,0.40366697,7.6072073,-17.87625351400129,-11.510911449711095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,11.09419375887609]}"
67,0.41154158,7.6072073,-16.94286872836186,-10.653243582250658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,11.09419375887609]}"
68,0.36336172,8.265517,-15.992982234482744,-8.48926149564572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,11.09419375887609]}"
69,0.2974072,8.549611,-17.91635882530295,-10.279614902715112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,11.09419375887609]}"
70,-0.18927974,25.4,-26.958542192746442,-19.03401783990204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.68306268706968,11.184025287288042]}"
71,-0.24899058,25.4,-26.395566786168338,-18.195019406024024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,11.184025287288042]}"
72,0.5904666,18.449368,-13.450483231404714,-3.9727505634463385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,11.184025287288042]}"
73,0.6049261,19.775398,-14.003469930314855,-6.48668018238085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,11.184025287288042]}"
74,0.65540963,19.775398,-13.961432095595809,-6.635927417302019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,11.184025287288042]}"
75,0.6319317,19.670206,-14.009821785415756,-6.525786732403639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,11.184025287288042]}"
76,0.6596794,19.070911,-13.918223279090165,-6.850822761327505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,11.184025287288042]}"
77,0.67164177,19.070911,-14.423980199726588,-6.576872331406218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,11.184025287288042]}"
78,0.33991444,20.847538,-16.145601116225134,-9.575072049308261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.184025287288042]}"
79,0.80351436,20.847538,-13.586441422954234,-6.829066577670044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,11.184025287288042]}"
80,0.6762402,18.557808,-10.960108505154544,-4.428081675259367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.184025287288042]}"
81,0.5837389,9.874079,-13.684781233518102,-6.911340535911714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,11.184025287288042]}"
82,0.69269204,9.874079,-13.927300117083199,-8.169823741495726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,11.184025287288042]}"
83,0.5120323,9.528396,-15.246921536289335,-8.625939189029545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,11.184025287288042]}"
84,0.3478261,9.103119,-16.43393440487641,-9.505171468706477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,11.184025287288042]}"
85,0.36537984,9.103119,-16.019636997299695,-8.99635559904987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,11.184025287288042]}"
86,0.32282713,8.227978,-17.361605870460806,-9.828706478134805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,11.184025287288042]}"
87,0.3028598,8.022961,-18.31531535046156,-10.305107774390645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,11.184025287288042]}"
88,0.32879707,8.022961,-16.621186729087075,-8.396872071086086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,11.184025287288042]}"
89,0.28842005,8.265045,-17.513289192090724,-9.459618377727516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,11.184025287288042]}"
90,0.23046875,8.265045,-17.58507685592757,-10.53780857467352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,11.184025287288042]}"
91,0.21934816,8.329135,-17.20386853751738,-10.30157999329717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,11.184025287288042]}"
92,0.28882477,8.925327,-17.032705921835287,-9.983217525542669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,11.184025287288042]}"
93,0.53835386,8.925327,-15.382427183971375,-7.350430965100458,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,11.184025287288042]}"
94,0.4769392,7.4232717,-15.760009778956256,-7.7611825979838125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,11.184025287288042]}"
95,0.5519683,7.3533854,-15.600957813422728,-6.9151280039714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,11.184025287288042]}"
96,0.33424583,7.3533854,-17.039485665304063,-9.225790126624478,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,11.184025287288042]}"
97,0.26001304,8.298655,-18.584153935054946,-10.825154276610371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,11.184025287288042]}"
98,0.35276732,8.686698,-17.41457059315668,-9.50948463409124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,11.184025287288042]}"
99,0.55499154,8.686698,-15.67825050052778,-8.443375487655763,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,11.184025287288042]}"
100,0.52313167,10.494378,-16.40149171888953,-9.636348323058778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,11.184025287288042]}"
101,0.45825827,10.494378,-17.531198663217136,-11.150962282016454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,11.184025287288042]}"
102,0.43152913,9.332334,-17.5510591474837,-10.403590410995356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.184025287288042]}"
103,0.44006848,9.1913,-17.11511187075614,-10.042159864198611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,11.184025287288042]}"
104,0.6421618,9.1913,-13.042456545073376,-7.173671973506186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,11.184025287288042]}"
105,0.4271115,8.868418,-12.730451392504305,-6.786402999262135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,11.184025287288042]}"
106,0.35467565,9.039931,-17.148738170656383,-10.500936112500336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,11.184025287288042]}"
107,-0.19805194,25.4,-27.24132204239414,-18.612819534151043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.68306268706968,11.273856815699995]}"
108,0.49141124,25.4,-12.653392819364806,-4.597587425308367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,11.273856815699995]}"
109,0.679868,18.873684,-13.142247003726109,-5.702460147377149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,11.273856815699995]}"
110,0.68249106,19.88554,-13.22590715942815,-5.5018930371554955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,11.273856815699995]}"
111,0.71659195,19.88554,-13.517053193550613,-6.461819090032285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,11.273856815699995]}"
112,0.6757764,19.553146,-14.592605773680054,-8.159846763267408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,11.273856815699995]}"
113,0.46835443,18.43135,-13.654524332628874,-6.1494417727174895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,11.273856815699995]}"
114,0.64115125,18.43135,-14.453129538963804,-7.288868762760272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,11.273856815699995]}"
115,0.74824685,17.152435,-13.332989719279782,-6.532277997086453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.273856815699995]}"
116,0.7652789,17.152435,-16.29297498045516,-9.746190831459366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,11.273856815699995]}"
117,0.7910808,19.536669,-12.995543132699666,-5.907668664540643,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.273856815699995]}"
118,0.72386694,19.003584,-14.019467032928961,-7.428668166700261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,11.273856815699995]}"
119,0.7762938,19.003584,-7.782396599636466,-1.0080122205388915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,11.273856815699995]}"
120,0.7217147,11.919625,-13.80151708065127,-7.7377908566275355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,11.273856815699995]}"
121,0.46340206,10.115106,-15.804251718759044,-9.461118365905314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,11.273856815699995]}"
122,0.39278457,10.115106,-16.877680522227735,-10.035984817036779,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,11.273856815699995]}"
123,0.34795323,9.035931,-15.804051620661006,-8.699503817181608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,11.273856815699995]}"
124,0.349707,8.194729,-16.514145787731316,-9.1043173520628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,11.273856815699995]}"
125,0.26727295,8.194729,-16.526402383613814,-9.438575515984107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,11.273856815699995]}"
126,0.25855273,8.361514,-17.768736946735352,-9.877981366782135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,11.273856815699995]}"
127,0.2964486,8.361514,-17.256214336698804,-8.22430134768672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,11.273856815699995]}"
128,0.2720191,8.02918,-16.38070433095279,-7.200425717601897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,11.273856815699995]}"
129,0.37161085,7.5820875,-16.109416774980254,-8.707551724666903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,11.273856815699995]}"
130,0.4015132,7.5820875,-14.453473278546038,-4.153941573441589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,11.273856815699995]}"
131,0.5603631,7.9114885,-15.687755038255883,-7.535703809072523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,11.273856815699995]}"
132,0.3095379,7.4823585,-18.280294111117417,-10.588291734682203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,11.273856815699995]}"
133,0.25297982,7.4823585,-17.221752557874765,-9.889011116639661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,11.273856815699995]}"
134,0.3309646,7.9286323,-17.557418011469654,-10.264109681816846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,11.273856815699995]}"
135,0.33852348,8.819627,-17.359958663661438,-9.527524028886015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,11.273856815699995]}"
136,0.7098875,8.819627,-15.148479754921363,-8.506586724687788,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,11.273856815699995]}"
137,0.71040726,12.138489,-14.464313246950624,-7.655446416344146,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,11.273856815699995]}"
138,0.55350065,12.138489,-17.937550624457124,-10.391389293893418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,11.273856815699995]}"
139,0.7536332,11.660173,-14.60504182600225,-8.848813053721608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.273856815699995]}"
140,0.6251874,10.95987,-14.274463459070525,-8.047933379526683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,11.273856815699995]}"
141,0.7544741,10.95987,-11.804810619057445,-5.428651850609339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73733465307606,11.273856815699995]}"
142,0.37736434,9.689961,-16.079397864857683,-9.326919642930097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.82716618148801,11.273856815699995]}"
143,0.37687984,9.914984,-17.218768171327667,-10.120033810806708,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.91699770989996,11.273856815699995]}"
144,-0.16883117,25.4,-26.657536326242244,-18.852983532635328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.68306268706968,11.363688344111946]}"
145,0.59417474,25.4,-13.790989502065933,-6.295132656809937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77289421548164,11.363688344111946]}"
146,0.7163636,19.007322,-13.399658053634553,-4.721275545962113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.86272574389359,11.363688344111946]}"
147,0.6330157,19.895828,-13.160141696818584,-5.333502576272959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95255727230554,11.363688344111946]}"
148,0.7040359,19.895828,-13.335963720397281,-6.281734892812891,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.04238880071749,11.363688344111946]}"
149,0.08508725,20.051945,-12.663824160631464,-5.843020176938628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13222032912944,11.363688344111946]}"
150,0.657349,15.684,-13.463254705095057,-6.156506388356071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2220518575414,11.363688344111946]}"
151,0.6742875,15.684,-14.428102574935775,-7.363110885988549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.31188338595335,11.363688344111946]}"
152,0.7165605,15.343289,-15.341522487389428,-8.725605408142396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4017149143653,11.363688344111946]}"
153,0.7706024,15.343289,-17.749543440850328,-11.456732567964426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49154644277725,11.363688344111946]}"
154,0.72116506,19.73353,-13.217050008795484,-7.330873778663039,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.5813779711892,11.363688344111946]}"
155,0.40762025,20.755827,-15.368212005534565,-7.922914861211845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.67120949960116,11.363688344111946]}"
156,0.63824475,20.755827,-14.44899371569268,-7.602910108897785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.76104102801311,11.363688344111946]}"
157,0.6165989,19.880941,-8.146622898784141,-1.0964934316147739,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85087255642506,11.363688344111946]}"
158,0.65975845,12.526367,-10.634894295824711,-4.104808263139592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94070408483701,11.363688344111946]}"
159,0.46835878,12.526367,-14.389251786557624,-9.31175097342991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03053561324897,11.363688344111946]}"
160,0.28312612,9.69488,-17.72026399064113,-10.027225236088672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12036714166092,11.363688344111946]}"
161,0.25981906,9.057446,-16.926620129477048,-9.623448143903625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,11.363688344111946]}"
162,0.36127347,9.057446,-18.02572515786286,-9.622171626437693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,11.363688344111946]}"
163,0.26359108,9.473692,-16.955546396320166,-9.888557896033877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,11.363688344111946]}"
164,0.35926014,9.473692,-16.912822558105468,-9.661600700989693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,11.363688344111946]}"
165,0.53430635,8.082242,-15.542052149742197,-7.9597731256438315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,11.363688344111946]}"
166,0.3336452,6.749661,-16.32347659775941,-7.745771411835003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,11.363688344111946]}"
167,0.15159607,6.749661,-13.556096415867426,-3.7606085559499296,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74918784054458,11.363688344111946]}"
168,0.3329344,7.3731766,-16.621985292581606,-7.195733105545362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83901936895654,11.363688344111946]}"
169,0.30836302,7.2960143,-17.49193708463381,-9.619011168456078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.92885089736849,11.363688344111946]}"
170,0.39900053,7.2960143,-16.89456679323746,-8.91434227187563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01868242578044,11.363688344111946]}"
171,0.32602957,8.146688,-16.105182923294727,-9.861114569805585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10851395419239,11.363688344111946]}"
172,0.36034575,8.367418,-15.79134704603354,-8.733245014893198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19834548260434,11.363688344111946]}"
173,0.58810925,8.367418,-14.498677586896566,-8.045480447654345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.2881770110163,11.363688344111946]}"
174,0.77312624,12.822388,-14.539578449937032,-7.966587534225823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37800853942825,11.363688344111946]}"
175,0.49879807,12.822388,-16.165071731729032,-9.199854538086683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4678400678402,11.363688344111946]}"
176,0.6197056,12.158248,-15.626331707687172,-9.49790049948062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55767159625215,11.363688344111946]}"
177,0.720024,11.614823,-14.08783719838036,-8.069769050733683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6475031246641,11.363688344111946]}"
